          Temp:     MC_cycles:         Avg_E:       Avg_E^2:       Avg_mag:    Avg_mag^2:
    1.000000000             10   -5.600000000   -1890582525.    44.80000000    1746927628.
    1.000000000            110   -7.927272727   -1890582524.    63.41818182    2045867117.
    1.000000000            210   -7.885714286   -1888485372.    63.08571429    2042386389.
    1.000000000            310   -8.000000000   -1888485380.    64.00000000   -2071986160.
    1.000000000            410   -7.902439024   -1888485375.    63.21951220    346173316.0
    1.000000000            510   -7.952941176   -1888485380.    63.62352941   -2055735288.
    1.000000000            610   -8.000000000   -1888485380.    64.00000000   -2071986160.
    1.000000000            710   -7.966197183   -1888485372.    63.72957746    2064690466.
    1.000000000            810   -7.980246914   -1888485379.    63.84197531   -1432484254.
    1.000000000            910   -7.991208791   -1888485380.    63.92967033   -2069709252.
