          Temp:     MC_cycles:         Avg_E:       Avg_E^2:       Avg_mag:     Avg_mag^2: accepted conf:
    2.400000000            100   -548.2400000    269.6400000    305250.5600    76258.80000           8866
    2.400000000            200   -564.4600000    291.9200000    321306.3200    86922.76000          16467
    2.400000000            300   -512.1333333    231.5800000    265458.7733    57500.17333          30213
    2.400000000            400   -504.9600000    204.3250000    258898.1600    49153.85000          41413
    2.400000000            500   -480.6560000    161.0760000    233930.7520    32705.04800          56590
    2.400000000            600   -530.2666667    253.4000000    285144.8000    70093.45333          56552
    2.400000000            700   -489.1428571    154.2771429    242396.1143    32853.86857          76785
    2.400000000            800   -511.8200000    203.8225000    266211.5600    51727.05500          81521
    2.400000000            900   -503.0355556    172.6488889    256830.9511    41784.72000          93980
    2.400000000           1000   -497.2800000    177.2060000    250446.3680    39316.06000         106992
    2.400000000           1100   -493.5345455    180.6490909    247029.3527    41206.86182         118573
    2.400000000           1200   -500.4233333    186.9500000    253903.3200    44560.08000         126771
    2.400000000           1300   -499.2584615    172.0953846    253189.8462    41505.16308         138751
    2.400000000           1400   -509.4171429    199.6528571    263427.5200    50578.99714         143235
    2.400000000           1500   -508.3626667    207.8560000    262339.1360    51970.10133         155135
    2.400000000           1600   -487.7350000    170.1150000    240804.1000    36378.49000         177206
    2.400000000           1700   -490.9035294    178.5470588    244201.3741    39374.16235         184564
    2.400000000           1800   -493.5333333    183.2755556    247986.8800    43726.14667         193966
    2.400000000           1900   -502.2589474    203.4294737    255756.0842    50008.08842         198183
    2.400000000           2000   -503.5960000    201.6530000    256626.7040    48038.98600         208293
    2.400000000           2100   -488.1695238    171.5809524    241959.9467    38473.26857         230802
    2.400000000           2200   -500.1018182    191.5572727    253568.9745    45927.11818         232879
    2.400000000           2300   -500.0382609    196.3826087    252868.4104    45288.32348         243803
    2.400000000           2400   -490.6333333    171.6158333    243751.9067    38317.12167         262357
    2.400000000           2500   -494.6864000    173.8736000    248222.7264    40308.16640         268666
    2.400000000           2600   -496.6507692    188.3161538    250061.5569    44017.91538         278185
    2.400000000           2700   -496.1525926    180.8829630    248993.7600    40879.22074         290182
    2.400000000           2800   -498.9571429    197.8771429    252641.8057    47670.99714         295699
    2.400000000           2900   -493.8717241    181.1379310    247528.1048    42503.28828         312755
    2.400000000           3000   -505.1706667    206.3453333    258444.8000    50035.64000         311911
    2.400000000           3100   -499.3612903    182.5729032    252785.7703    42512.59613         329242
    2.400000000           3200   -501.2137500    189.8506250    254473.0350    45253.12875         337325
    2.400000000           3300   -493.7187879    176.3078788    246953.2606    40584.32485         357684
    2.400000000           3400   -485.0364706    161.9800000    238470.7341    35169.91765         379576
    2.400000000           3500   -488.5291429    165.4725714    241783.5017    35985.17829         385497
    2.400000000           3600   -491.7844444    172.2494444    244770.1778    38132.25222         391874
    2.400000000           3700   -491.0648649    169.8054054    244488.1686    37911.10054         404055
    2.400000000           3800   -485.3094737    159.5410526    238519.8400    33657.66947         421819
    2.400000000           3900   -487.7138462    163.2128205    240740.1641    34625.88000         431465
    2.400000000           4000   -500.4610000    189.0420000    253638.6760    43493.37200         421113
    2.400000000           4100   -504.0331707    205.8731707    257437.9941    49792.28293         428455
    2.400000000           4200   -492.3666667    170.6871429    245536.3695    37987.19714         456607
    2.400000000           4300   -496.2753488    184.0344186    249477.0233    42035.83814         460637
    2.400000000           4400   -490.0963636    168.7240909    243405.7091    37036.49727         479943
    2.400000000           4500   -491.6417778    176.0115556    244710.5387    38339.72089         488797
    2.400000000           4600   -494.5817391    180.1243478    248012.2122    41747.48348         494210
    2.400000000           4700   -488.1097872    170.3000000    241114.9855    36941.35745         517285
    2.400000000           4800   -489.2025000    159.4145833    242427.1233    34808.72583         527037
    2.400000000           4900   -489.9591837    166.3612245    243299.9967    36853.12082         538590
    2.400000000           5000   -494.0320000    179.0860000    247052.3520    39766.04720         539190
    2.400000000           5100   -494.7074510    186.3247059    247638.2055    42430.68078         549299
    2.400000000           5200   -509.9623077    213.1026923    263130.1754    52140.73000         530012
    2.400000000           5300   -491.9954717    167.9018868    245081.6604    37256.14189         576550
    2.400000000           5400   -502.5333333    202.2148148    255697.6474    48157.40000         567246
    2.400000000           5500   -499.6901818    191.7920000    253152.3724    45264.55273         582044
    2.400000000           5600   -491.3314286    174.6510714    244466.4171    38520.71071         609394
    2.400000000           5700   -497.4589474    186.7652632    251171.4218    44041.78316         607393
    2.400000000           5800   -497.3848276    188.4213793    251034.2290    44443.48828         620061
    2.400000000           5900   -491.2271186    173.0786441    244682.7715    38799.83593         644276
    2.400000000           6000   -499.5140000    194.5146667    252871.8107    45975.95067         636712
    2.400000000           6100   -488.8452459    171.7895082    241770.5469    37542.00787         669663
    2.400000000           6200   -501.5070968    195.5100000    254722.8490    46037.26903         653051
    2.400000000           6300   -499.8044444    191.2330159    253427.3219    45516.10032         666857
    2.400000000           6400   -488.5256250    165.5396875    241668.1925    35991.37688         706634
    2.400000000           6500   -508.6806154    208.2473846    262456.0985    51189.98400         668843
    2.400000000           6600   -496.9303030    172.6706061    250261.1758    39567.90606         706463
    2.400000000           6700   -491.7456716    176.6829851    245208.7212    39963.04597         729890
    2.400000000           6800   -486.3982353    166.5917647    239912.0871    36868.74235         753999
    2.400000000           6900   -483.5721739    158.0286957    236819.8307    33106.19536         772964
    2.400000000           7000   -493.2120000    179.8548571    246401.4651    40546.82971         757301
    2.400000000           7100   -507.0563380    209.3169014    260525.9651    51523.08113         731989
    2.400000000           7200   -498.7911111    193.8305556    252067.6889    44988.92778         766835
    2.400000000           7300   -495.1791781    179.8824658    248468.2564    40791.66521         784854
    2.400000000           7400   -498.1010811    185.2548649    251565.1178    43198.55730         790570
    2.400000000           7500   -490.1898667    173.9485333    243453.0048    38699.91307         819525
    2.400000000           7600   -492.8042105    178.9750000    245952.6863    40050.23211         824296
    2.400000000           7700   -490.2166234    169.3137662    243511.9190    37469.19688         842755
    2.400000000           7800   -494.5487179    182.4051282    247687.8154    41110.16205         839920
    2.400000000           7900   -494.2496203    182.5865823    247508.8101    41630.16962         852532
    2.400000000           8000   -492.6500000    177.5095000    245971.3600    39907.07600         865861
    2.400000000           8100   -495.5175309    183.9503704    248759.5042    41973.36840         870834
    2.400000000           8200   -499.4912195    191.4826829    252970.2459    45450.67268         867004
    2.400000000           8300   -500.2081928    190.0783133    253601.5653    44723.70747         877830
    2.400000000           8400   -491.4223810    172.0716667    244845.6933    38954.52714         915199
    2.400000000           8500   -498.5943529    185.6258824    252018.1176    43281.61600         904548
    2.400000000           8600   -489.8711628    174.8458140    243140.1693    39167.66744         939526
    2.400000000           8700   -492.5227586    180.5944828    245800.2740    40854.28966         941899
    2.400000000           8800   -492.4904545    172.9406818    245572.2455    38034.31045         957019
    2.400000000           8900   -491.7923596    174.5537079    244876.8431    38999.84180         968765
    2.400000000           9000   -495.6724444    184.5013333    249014.5689    42396.52267         967735
    2.400000000           9100   -497.7582418    189.8604396    251009.1991    44205.02725         968843
    2.400000000           9200   -492.6491304    180.5880435    245914.6870    40606.40913         998906
    2.400000000           9300   -490.0137634    170.3505376    243475.0555    38049.56903        1019085
    2.400000000           9400   -504.3268085    205.4417021    257697.7191    50246.91489         976302
    2.400000000           9500   -494.7835789    178.4568421    248063.4189    40314.31158        1023561
    2.400000000           9600   -492.4616667    176.6487500    245631.5933    39389.39333        1040391
    2.400000000           9700   -500.1859794    189.7754639    253382.2928    44538.63629        1026406
    2.400000000           9800   -501.0510204    196.7597959    254388.5371    46877.43878        1032474
    2.400000000           9900   -493.5688889    179.1303030    246766.5600    40367.77657        1070396
    2.400000000          10000   -494.3436000    181.9710000    247405.2688    41378.77960        1078624
