          Temp:     MC_cycles:         Avg_E:       Avg_E^2:       Avg_mag:     Avg_mag^2: accepted conf:
    1.000000000            100   -680.5600000    80.76000000    466480.6400    8008.160000           2425
    1.000000000            200   -690.9000000    172.2400000    479070.4800    34433.88000           4307
    1.000000000            300   -785.6533333    384.2000000    619689.3867    149880.0800           1178
    1.000000000            400   -793.3100000    396.1450000    630938.8400    157596.5300            847
    1.000000000            500   -789.8800000    386.7440000    625507.5520    152667.7760           1475
    1.000000000            600   -769.5933333    329.9266667    595382.1067    124439.6800           3839
    1.000000000            700   -695.5828571    79.82285714    484568.5714    10263.90857          14089
    1.000000000            800   -696.9000000    101.7650000    486171.0000    14417.97000          15816
    1.000000000            900   -793.6666667    394.0933333    630848.2311    156298.5956           1601
    1.000000000           1000   -793.2280000    393.2200000    630391.0880    156091.2800           1789
    1.000000000           1100   -696.5963636    37.66909091    485669.1782    2185.069091          20497
    1.000000000           1200   -792.9833333    390.8466667    629902.6000    154793.0333           2111
    1.000000000           1300   -796.0338462    397.1353846    634157.8215    158083.8892           1390
    1.000000000           1400   -698.1285714    108.0857143    487747.6229    17319.22286          25593
    1.000000000           1500   -755.3386667    289.3026667    573272.5120    102203.4000          12597
    1.000000000           1600   -792.7475000    389.3425000    629492.4700    154344.3000           2845
    1.000000000           1700   -793.8752941    390.8047059    631016.7435    155085.9200           2637
    1.000000000           1800   -742.0933333    213.7966667    553478.6133    74843.21556          20187
    1.000000000           1900   -787.6673684    368.4378947    621677.2547    145078.4253           4589
    1.000000000           2000   -796.8580000    397.7440000    635439.2560    158590.0000           1703
    1.000000000           2100   -769.8133333    313.7809524    594937.9810    118771.5886          12327
    1.000000000           2200   -771.8000000    324.4190909    597902.6182    122328.3618          11838
    1.000000000           2300   -777.2313043    345.5191304    606218.5183    132009.4383           9849
    1.000000000           2400   -795.7566667    394.7208333    633797.7733    157207.9650           2511
    1.000000000           2500   -745.3888000    227.6736000    558340.1600    79848.74240          23517
    1.000000000           2600   -796.3430769    395.6946154    634592.1662    157505.2723           2609
    1.000000000           2700   -759.8192593    285.3177778    579894.3763    104135.1481          20371
    1.000000000           2800   -797.0214286    397.7928571    635587.0457    158571.4800           2065
    1.000000000           2900   -797.0358621    397.5206897    635598.7917    158487.5572           2330
    1.000000000           3000   -775.2080000    328.7646667    602891.6373    125612.2573          13092
    1.000000000           3100   -797.3716129    397.8658065    636085.2594    158695.7084           2139
    1.000000000           3200   -791.9275000    381.9887500    628003.0600    151064.8350           5791
    1.000000000           3300   -796.3927273    395.8090909    634678.4776    157593.6497           3111
    1.000000000           3400   -797.0329412    397.6588235    635592.9129    158530.8094           2591
    1.000000000           3500   -792.2994286    385.4674286    628468.8549    151820.9394           5693
    1.000000000           3600   -789.4188889    375.6194444    624224.9733    147485.4122           8187
    1.000000000           3700   -796.8497297    396.3583784    635304.7178    157897.9427           3254
    1.000000000           3800   -796.8421053    395.9057895    635316.8589    157819.6495           3041
    1.000000000           3900   -797.0041026    397.3051282    635526.3549    158374.4810           3056
    1.000000000           4000   -765.1050000    297.4705000    587755.0200    110297.5410          25785
    1.000000000           4100   -771.9960976    312.0395122    598082.8488    119245.0254          20743
    1.000000000           4200   -774.9771429    331.7185714    602550.2400    125876.3057          19125
    1.000000000           4300   -797.9413953    398.7339535    636887.2149    159145.1758           2279
    1.000000000           4400   -791.9054545    379.9063636    627914.6400    150430.1545           7775
    1.000000000           4500   -763.0248889    293.8417778    584623.3991    108370.2720          31991
    1.000000000           4600   -796.9295652    396.5156522    635384.3930    157962.2365           3591
    1.000000000           4700   -798.4280851    399.4080851    637629.6885    159575.6179           2130
    1.000000000           4800   -792.9625000    384.5662500    629488.5300    152331.1742           7109
    1.000000000           4900   -788.6514286    370.0959184    623039.4776    145552.6180          11089
    1.000000000           5000   -797.9536000    398.4284000    636911.0912    159009.6184           2721
    1.000000000           5100   -796.7952941    396.0600000    635214.1804    157824.3694           4143
    1.000000000           5200   -796.6938462    395.7184615    635066.1415    157669.2369           4211
    1.000000000           5300   -797.7743396    398.2377358    636640.4981    158887.0415           3085
    1.000000000           5400   -797.7948148    398.2444444    636678.8593    158898.7600           3089
    1.000000000           5500   -797.8065455    398.3618182    636683.3513    159021.2429           3095
    1.000000000           5600   -795.3557143    391.6007143    633016.5029    155350.3229           5413
    1.000000000           5700   -797.8807018    398.3992982    636868.7382    159047.8442           3313
    1.000000000           5800   -798.2248276    398.9762069    637312.1710    159317.6641           2801
    1.000000000           5900   -797.8332203    398.2030508    636745.8929    158903.2427           3355
    1.000000000           6000   -798.0926667    398.9250000    637122.8187    159279.3927           3041
    1.000000000           6100   -793.0577049    387.0403279    629592.6741    152670.8846           8289
    1.000000000           6200   -782.5683871    346.0609677    613863.5484    135151.7013          19455
    1.000000000           6300   -798.2342857    399.0393651    637333.7524    159368.0305           2826
    1.000000000           6400   -797.8781250    398.1540625    636773.6375    158885.4731           3589
    1.000000000           6500   -795.6553846    391.7920000    633483.4855    155712.1538           5983
    1.000000000           6600   -798.0696970    398.5669697    637072.8121    159114.1703           3387
    1.000000000           6700   -797.8179104    397.8808955    636700.2101    158770.6358           3805
    1.000000000           6800   -798.3829412    399.1311765    637533.1788    159424.6200           2969
    1.000000000           6900   -798.3797101    399.2428986    637550.8800    159506.0788           3115
    1.000000000           7000   -798.3462857    399.2811429    637481.1611    159512.2240           2989
    1.000000000           7100   -798.4225352    399.3250704    637584.6670    159524.2389           2963
    1.000000000           7200   -768.5327778    302.3769444    592844.8556    114249.3617          39670
    1.000000000           7300   -797.8920548    398.4068493    636822.7441    159055.9951           3959
    1.000000000           7400   -797.8356757    397.7929730    636751.6714    158772.8411           4185
    1.000000000           7500   -784.4618667    353.6466667    616696.6101    138664.7323          21489
    1.000000000           7600   -798.3326316    399.1697368    637460.2316    159451.7711           3307
    1.000000000           7700   -797.5823377    397.7966234    636332.8582    158632.9699           4573
    1.000000000           7800   -798.2774359    399.0412821    637360.3631    159374.9738           3483
